,3110035E14Rik_class,Aldoc_class,Cck_class,Cplx2_class,Enc1_class,Gad1_class,Id2_class,Ndnf_class,Neurod6_class,Npy2r_class,Pcp4_class,Pde1a_class,Plp1_class,Prkca_class,Pvalb_class,Reln_class,Rgs4_class,Sst_class,Wfs1_class,Zero
Rab3c,0.0,0.006374729146277389,0.0,0.029541870399327624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005390746414521088,0.05573668192799011,6.543967961961893e-05,0.021943962318917824,0.17172105588035985,0.0,0.0025902793212498163
Rasgrf2,0.0001417395764531881,0.02261600093486944,0.5346262985349036,0.006351185635961135,0.16676766193026302,0.14187071951668326,0.5513384763138031,0.2579054088409898,0.23728079999677412,0.442792603293685,0.03817902054314911,0.5421568241252557,0.005269663017871344,0.0170235180788746,0.23834983297820084,0.09161716008056188,0.061120914266609455,0.2429222496019402,0.0,0.01864339996895513
Rbp4,0.22512267371394185,0.003506428600240863,0.060856086019386336,0.05379446676470134,0.0,0.0,0.0,0.0,0.1538541027768796,0.21207193059798757,0.0,0.0,0.0053282289303182425,0.0073463656759120205,0.02588188970692194,0.018830087514715547,0.04085273367663224,0.14866303320255264,0.0012135740638241671,0.0038192617333900197
Reln,0.001156598136739923,0.11210221549305371,0.21164046803948353,0.270692238109198,0.015058290023352999,3.6382837416518403,0.23353530514101237,0.6988245996455204,0.3290573520751262,0.06317886837479228,0.45047119920547357,0.4371514401828386,0.10629553315244968,0.1401801850990646,0.33437333080356296,1.7474142231719705,0.1897578316633424,2.0967353343389403,0.27453548122059696,0.028811406769272987
Rgs10,0.0,0.0006717695455523052,0.007100381395836809,0.0,0.027696075601025785,0.19728554117765562,0.22111679737673512,0.0,0.03141853230750078,0.0014351823509520898,0.07751911377088898,0.0,0.002919070156771439,0.003378602193934492,0.027572619428396106,0.0006437575481922272,0.0,0.12535989306704298,0.00839323148437142,0.012211784159908392
Rgs12,0.00464818606389957,0.04863609653750293,0.2472147293848096,0.0053229048735325135,0.04444113510781,0.00021532433567697916,0.07465600167318519,1.9518824252810663,0.0,0.12840528160782017,0.0,0.049260415927737916,0.012686397360388662,0.04658305746578742,0.0006351720170228674,0.2840495442739218,0.07399373585374096,0.0,0.02205390035079571,0.028857107132362815
Rgs4,2.0526045140117914,0.28875292824001764,0.31828395545102584,1.94572037210255,1.1224450539987607,0.433949681523008,0.828131392630195,0.32962805330732564,1.4343381731494866,0.4143864291894628,2.7104944270446,3.35764758717648,0.040880550179168015,1.0689115724627256,0.21514009187681482,0.17546081680410117,1.5783667740831528,0.06812412111891342,0.4542435602517196,0.09393888130785881
Rorb,0.0035976391206625725,0.12664715546169986,0.004369914746285247,0.05953533465517995,0.0009980384487432083,9.504375445704105e-05,4.681175444882066e-05,0.05463363143598794,0.06481924081242411,0.009122516283896742,0.3246999948053615,0.07443286733720954,0.01733305248878947,0.042594549106300054,0.02671353342771524,0.01856384134927463,0.13227349431088897,0.14959281659591905,0.011840969010041736,0.03438706094693137
Rprm,0.0,0.007145226176136506,0.0,0.0,0.0,0.0,0.0,0.0,0.0008816871314174707,0.0,0.30521005149569,0.0,0.0013042630321050783,0.012212694861289102,6.424097874487807e-05,0.005841662338193351,0.0,0.0,0.039771748344622784,0.0026689802894214855
Satb1,0.07171094546539229,0.19669818840938266,0.2640082166928474,0.05033345051022806,0.03695977618344759,0.0011833410347970423,0.1938827260699679,0.35767946468074496,0.08875633872296149,1.6510779335339691,0.2761819329674753,0.0,0.07315924555554994,0.19098433030475728,0.8278551281682096,0.4130172299253227,0.41291941913088465,1.5403548109303695,0.036529906559823536,0.06160090292313297
Scg2,0.8248537514075451,0.04207047162720143,0.4092658888230277,0.06492062427956728,0.01642547801559018,0.3805875004656201,0.6438319773992052,0.22006945574640854,0.03283539198836818,1.3980868541913154,0.1739583442059822,0.7827295376532726,0.0072387614214690236,0.6035750975851547,0.78635502348689,0.34229044669125536,0.05955449118638865,0.6560161839490932,0.08412834176733158,0.020553019645045897
Sema3c,0.32579093221286415,0.016237282546320713,0.22689144204143186,0.23772207567607492,0.0006949092346697635,0.1311517240499417,0.2706456024577719,0.16216341122305777,0.1934231409532116,0.06276305204022833,0.14898883930674597,0.1925014083657454,0.002674838871064161,0.012482132022228427,0.0,0.07504535307766144,0.016822438303921078,0.004900495815810198,0.008464359397184052,0.01856359859363382
Serpini1,0.08022685123248616,0.011245672724952162,0.22291597005359437,0.005115769101745526,0.0015513904476358927,0.12977398538621393,0.2350625508710058,0.8984893723354119,0.07973383049376051,0.5812979942102173,0.15215889688179582,0.0,0.003583221408886076,0.13897580498829512,0.25586358696873124,0.05733778435194305,0.14735645526603489,0.2507968676832582,0.10774882235726935,0.01049286771684781
Slc17a8,0.0,8.654809812916892e-05,0.05980600807387524,0.025369713600284408,0.00014168820932419088,0.0,0.00012197627338040233,0.05255553091499795,0.0,0.1958721334374137,0.0,0.01573627478112074,0.0024557371311465094,0.0023888864574337825,0.0258710681442547,0.0,0.0030072604934062754,0.0,0.0,1.3595216462258079e-05
Slc6a1,0.19786237425441316,0.3304492432155272,0.44655482141663727,0.039657505587979425,0.025246317483893815,0.5959115277974104,1.441036592524607,0.37165636077511227,0.09347045809054268,1.6414317664102553,0.719148672508909,0.23009892430397025,0.08274332713742577,0.04464775366041008,0.4011159749191006,0.361931420691629,0.19158842514049634,0.2288690745784715,0.046572356240736947,0.0658362643932379
